Image,PSNR,SSIM
1.png,13.24,0.4226
10.png,10.83,0.4489
100.png,12.49,0.4617
101.png,11.39,0.5263
102.png,12.05,0.4971
103.png,13.47,0.5653
104.png,12.71,0.5307
105.png,12.22,0.5406
106.png,12.49,0.5251
107.png,12.31,0.5381
108.png,13.62,0.5676
109.png,13.82,0.5692
11.png,10.65,0.4129
110.png,14.02,0.5707
111.png,12.75,0.5055
112.png,11.40,0.4690
113.png,15.37,0.6051
114.png,13.23,0.5348
115.png,14.31,0.5666
116.png,16.07,0.6024
117.png,14.27,0.5653
118.png,15.94,0.6069
119.png,15.79,0.5975
12.png,10.31,0.4121
120.png,13.80,0.5515
121.png,15.71,0.5859
122.png,14.17,0.5527
123.png,12.12,0.4448
124.png,14.99,0.5816
125.png,13.85,0.5606
126.png,13.85,0.5767
127.png,14.39,0.6054
128.png,14.31,0.6023
129.png,13.50,0.5830
13.png,11.94,0.4464
130.png,14.47,0.6013
131.png,13.53,0.5721
132.png,13.21,0.5539
133.png,10.84,0.4400
134.png,13.85,0.5070
135.png,14.34,0.5411
136.png,14.44,0.5841
137.png,15.58,0.6043
138.png,14.27,0.5720
139.png,13.14,0.4938
14.png,9.70,0.3950
140.png,15.23,0.5867
141.png,13.45,0.5023
142.png,14.38,0.5903
143.png,15.01,0.5950
144.png,14.73,0.6140
145.png,12.92,0.5025
146.png,14.96,0.6206
147.png,14.56,0.5440
148.png,15.43,0.6363
149.png,11.82,0.4846
15.png,11.95,0.4538
150.png,14.84,0.6302
151.png,12.87,0.5266
152.png,12.00,0.5016
153.png,13.85,0.5422
154.png,16.32,0.6174
155.png,15.38,0.6342
156.png,8.43,0.4811
157.png,14.80,0.6059
158.png,15.87,0.6411
159.png,13.34,0.5153
16.png,9.68,0.4054
160.png,15.31,0.6081
161.png,17.61,0.6669
162.png,12.75,0.5550
163.png,15.73,0.6212
164.png,17.22,0.6751
165.png,17.05,0.6713
166.png,16.09,0.6506
167.png,14.39,0.5646
168.png,15.26,0.6242
169.png,17.03,0.7072
17.png,9.60,0.3888
170.png,15.56,0.6606
171.png,17.72,0.7377
172.png,14.04,0.6100
173.png,15.65,0.6368
174.png,16.31,0.6748
175.png,16.16,0.6684
176.png,16.24,0.6701
177.png,15.82,0.6600
178.png,13.75,0.6135
179.png,14.12,0.5903
18.png,11.55,0.4411
180.png,15.55,0.6990
181.png,15.29,0.7004
182.png,12.26,0.5915
183.png,12.02,0.5740
184.png,11.04,0.5225
185.png,12.21,0.6306
186.png,12.74,0.6339
187.png,12.75,0.6401
188.png,12.57,0.5704
189.png,12.10,0.5515
19.png,10.99,0.4186
190.png,12.79,0.5544
191.png,14.59,0.6516
192.png,13.94,0.6426
193.png,13.26,0.6245
194.png,13.17,0.5641
195.png,14.57,0.6880
196.png,13.27,0.6275
197.png,14.22,0.6670
198.png,13.07,0.5574
199.png,15.90,0.7311
2.png,11.80,0.4233
20.png,11.16,0.4493
200.png,9.60,0.6537
201.png,20.48,0.8427
202.png,11.49,0.6580
203.png,12.42,0.6253
204.png,14.34,0.7233
205.png,19.87,0.8489
206.png,19.68,0.8418
207.png,14.70,0.7146
208.png,14.09,0.7213
209.png,15.59,0.7523
21.png,11.04,0.4356
210.png,10.18,0.5650
