Image,PSNR,SSIM
000001.png,29.45,0.8625
000002.png,29.09,0.8642
000003.png,30.50,0.8941
000004.png,28.20,0.8553
000005.png,31.66,0.9159
000006.png,31.12,0.9136
000007.png,33.54,0.9466
000008.png,31.47,0.9129
000009.png,33.85,0.9546
000010.png,34.55,0.9622
000011.png,31.80,0.9243
000012.png,32.04,0.9212
000013.png,29.64,0.8939
000014.png,28.45,0.8590
000015.png,28.55,0.8626
000016.png,31.22,0.9225
000017.png,27.96,0.8736
000018.png,26.65,0.8507
000019.png,27.25,0.8491
000020.png,31.71,0.9263
000021.png,31.36,0.9215
000022.png,30.49,0.8964
000023.png,35.35,0.9649
000024.png,31.42,0.9198
000025.png,34.50,0.9566
000026.png,31.36,0.9074
000027.png,30.25,0.9038
000028.png,27.55,0.8508
000029.png,30.33,0.9058
000030.png,34.08,0.9560
000031.png,35.01,0.9686
000032.png,34.47,0.9563
000033.png,33.52,0.9499
000034.png,33.14,0.9404
000035.png,35.22,0.9645
000036.png,32.86,0.9434
000037.png,34.47,0.9612
000038.png,32.79,0.9410
000039.png,35.05,0.9670
000040.png,33.54,0.9499
000041.png,32.94,0.9488
000042.png,34.78,0.9657
000043.png,35.64,0.9693
000044.png,33.82,0.9551
000045.png,31.52,0.9222
000046.png,34.03,0.9546
000047.png,33.07,0.9553
000048.png,30.69,0.9384
000049.png,33.77,0.9505
000050.png,34.83,0.9669
000051.png,34.40,0.9579
000052.png,31.80,0.9273
000053.png,31.68,0.9235
000054.png,32.22,0.9336
000055.png,32.27,0.9284
000056.png,32.53,0.9323
000057.png,31.18,0.9122
000058.png,32.70,0.9412
000059.png,28.82,0.8715
000060.png,31.09,0.9308
000061.png,28.13,0.8566
000062.png,29.21,0.8929
000063.png,29.56,0.8802
000064.png,34.43,0.9626
000065.png,30.99,0.9025
000066.png,28.55,0.8447
000067.png,31.51,0.9062
000068.png,33.31,0.9232
000069.png,36.48,0.9721
000070.png,31.91,0.9102
000071.png,34.83,0.9543
000072.png,33.14,0.9241
000073.png,33.46,0.9413
000074.png,31.91,0.9237
000075.png,33.80,0.9535
000076.png,29.88,0.9108
000077.png,31.71,0.9230
000078.png,31.40,0.9318
000079.png,30.57,0.9048
000080.png,30.51,0.9026
000081.png,31.66,0.9287
000082.png,30.81,0.9157
000083.png,29.04,0.8815
000084.png,30.60,0.9249
000085.png,32.05,0.9316
000086.png,26.60,0.8678
000087.png,26.00,0.8602
000088.png,28.73,0.9072
000089.png,33.55,0.9437
000090.png,32.90,0.9492
000091.png,31.83,0.9253
000092.png,31.22,0.9108
000093.png,32.14,0.9424
000094.png,32.94,0.9468
000095.png,29.65,0.8900
