Image,PSNR,SSIM
000001.png,27.87,0.8351
000002.png,26.98,0.8224
000003.png,27.65,0.8509
000004.png,26.18,0.8070
000005.png,29.97,0.8910
000006.png,28.64,0.8729
000007.png,32.13,0.9326
000008.png,30.10,0.8922
000009.png,31.83,0.9376
000010.png,32.72,0.9502
000011.png,29.45,0.8921
000012.png,30.52,0.8985
000013.png,28.36,0.8704
000014.png,27.10,0.8276
000015.png,26.59,0.8160
000016.png,29.39,0.8939
000017.png,24.95,0.7995
000018.png,26.73,0.8448
000019.png,26.05,0.8141
000020.png,29.01,0.8868
000021.png,28.19,0.8633
000022.png,29.03,0.8697
000023.png,33.19,0.9530
000024.png,28.58,0.8733
000025.png,32.31,0.9412
000026.png,28.73,0.8556
000027.png,29.06,0.8782
000028.png,27.31,0.8405
000029.png,28.92,0.8827
000030.png,32.05,0.9391
000031.png,32.43,0.9532
000032.png,32.70,0.9402
000033.png,31.53,0.9316
000034.png,31.50,0.9192
000035.png,33.49,0.9533
000036.png,31.21,0.9252
000037.png,31.35,0.9400
000038.png,30.92,0.9170
000039.png,33.78,0.9600
000040.png,31.35,0.9307
000041.png,31.01,0.9305
000042.png,33.10,0.9573
000043.png,34.17,0.9629
000044.png,31.63,0.9373
000045.png,29.39,0.8923
000046.png,32.34,0.9422
000047.png,30.17,0.9286
000048.png,30.00,0.9317
000049.png,32.20,0.9345
000050.png,33.87,0.9614
000051.png,32.86,0.9489
000052.png,29.76,0.8993
000053.png,29.79,0.8959
000054.png,30.53,0.9146
000055.png,29.99,0.8993
000056.png,30.16,0.9044
000057.png,28.14,0.8569
000058.png,31.41,0.9273
000059.png,27.21,0.8344
000060.png,30.38,0.9239
000061.png,25.50,0.7946
000062.png,28.03,0.8719
000063.png,28.50,0.8613
000064.png,33.97,0.9593
000065.png,28.43,0.8605
000066.png,26.93,0.8120
000067.png,29.75,0.8823
000068.png,30.46,0.8883
000069.png,35.91,0.9686
000070.png,29.36,0.8664
000071.png,33.18,0.9444
000072.png,30.71,0.8940
000073.png,31.76,0.9195
000074.png,29.06,0.8889
000075.png,31.73,0.9367
000076.png,26.67,0.8565
000077.png,29.27,0.8904
000078.png,28.08,0.8884
000079.png,28.25,0.8687
000080.png,29.14,0.8824
000081.png,29.25,0.9013
000082.png,29.64,0.8956
000083.png,27.86,0.8508
000084.png,30.61,0.9195
000085.png,30.26,0.9077
000086.png,26.45,0.8598
000087.png,26.97,0.8764
